Order_ID,Customer_Age,Order_Amount,Shipping_Cost,Delivery_Days,Items_Count,Customer_Rating,Payment_Method,City
ORD1037,20.0,460.11,52.25,3.0,4.0,2.8,Cash,Dammam
ORD1038,54.0,287.89,35.09,10.0,8.0,4.4,Card,Jeddah
ORD1039,24.0,40.0,50.97,5.0,3.0,4.1,Cash,Khobar
ORD1040,38.0,358.01,,5.0,6.0,1.3,Apple Pay,Riyadh
ORD1041,26.0,276.49,37.79,3.0,7.0,1.2,Apple Pay,Riyadh
ORD1042,56.0,288.19,37.11,9.0,1.0,3.5,Cash,
ORD1043,35.0,369.82,21.17,4.0,1.0,2.4,Apple Pay,Dammam
ORD1044,21.0,301.73,16.99,5.0,1.0,1.8,Card,Khobar
ORD1045,42.0,343.64,36.98,4.0,5.0,3.3,Card,Dammam
ORD1046,31.0,97.55,24.73,5.0,4.0,2.4,Cash,Dammam
ORD1047,26.0,216.26,34.52,,5.0,3.1,Cash,Dammam
ORD1048,43.0,474.44,28.58,9.0,4.0,2.8,Cash,Dammam
ORD1049,19.0,1800.0,13.54,7.0,8.0,3.3,Apple Pay,Riyadh
ORD1050,37.0,135.91,39.29,5.0,5.0,2.6,Card,Riyadh
ORD1051,45.0,202.02,30.03,10.0,5.0,3.8,Card,Dammam
ORD1052,64.0,210.82,35.96,10.0,6.0,1.7,Apple Pay,Khobar
ORD1053,24.0,331.26,24.28,7.0,3.0,3.8,Card,Jeddah
ORD1054,61.0,272.41,30.98,10.0,5.0,2.6,Cash,Khobar
ORD1055,25.0,247.49,53.72,5.0,6.0,4.5,Cash,Khobar
ORD1056,64.0,,36.54,3.0,2.0,3.1,Cash,Khobar
ORD1057,52.0,372.55,41.59,7.0,3.0,4.9,Card,Dammam
ORD1058,31.0,291.51,19.75,2.0,8.0,3.4,Cash,Riyadh
ORD1059,34.0,256.78,63.67,9.0,5.0,1.9,Apple Pay,Khobar
ORD1060,53.0,273.64,57.12,10.0,7.0,4.3,Apple Pay,Dammam
ORD1061,57.0,357.38,51.36,10.0,1.0,2.4,Card,Khobar
ORD1062,21.0,319.19,44.95,1.0,2.0,2.4,Apple Pay,Khobar
ORD1063,19.0,404.4,35.18,6.0,2.0,,Apple Pay,Dammam
ORD1064,23.0,193.52,40.3,7.0,8.0,3.2,Card,Riyadh
ORD1065,59.0,234.71,47.58,8.0,6.0,3.1,Cash,Riyadh
ORD1066,21.0,405.05,27.46,10.0,2.0,2.4,Cash,Jeddah
ORD1067,,231.8,29.67,9.0,3.0,4.6,Cash,Dammam
ORD1068,35.0,472.24,14.97,2.0,5.0,1.5,Card,Jeddah
ORD1069,43.0,474.57,25.74,10.0,5.0,2.3,Apple Pay,Jeddah
ORD1070,61.0,473.16,54.94,2.0,7.0,2.3,Cash,Jeddah
ORD1071,51.0,223.13,30.99,5.0,8.0,1.4,Cash,Riyadh
ORD1072,27.0,328.46,,5.0,1.0,2.9,Card,Dammam
ORD1073,53.0,265.72,38.81,6.0,6.0,3.8,Cash,Jeddah
ORD1074,31.0,421.55,220.0,3.0,1.0,3.0,Card,Dammam
ORD1075,48.0,507.73,46.34,8.0,2.0,1.6,Apple Pay,Dammam
ORD1076,65.0,416.09,50.2,1.0,8.0,2.5,Card,Riyadh
ORD1077,32.0,321.01,39.53,6.0,7.0,1.0,Card,Jeddah
ORD1078,25.0,279.79,54.82,4.0,1.0,4.5,Card,Jeddah
ORD1079,31.0,391.4,19.08,1.0,3.0,1.3,Card,Dammam
ORD1080,40.0,185.48,57.12,7.0,5.0,3.4,,Khobar
ORD1081,57.0,379.0,26.23,9.0,2.0,4.9,Apple Pay,Riyadh
ORD1082,38.0,219.38,19.64,4.0,7.0,3.1,Cash,Riyadh
ORD1083,33.0,388.26,32.15,4.0,1.0,4.7,Apple Pay,Riyadh
ORD1084,62.0,302.3,57.46,6.0,6.0,1.9,Apple Pay,Riyadh
ORD1085,35.0,277.29,34.77,,3.0,4.0,Cash,Jeddah
ORD1086,64.0,222.59,23.81,6.0,3.0,3.1,Apple Pay,Jeddah
ORD1087,41.0,280.76,19.46,7.0,1.0,3.9,Card,Khobar
ORD1088,43.0,381.17,33.74,10.0,5.0,1.2,Card,Riyadh
ORD1089,42.0,434.82,11.06,30.0,1.0,1.6,Cash,Riyadh
ORD1090,62.0,377.91,19.4,3.0,2.0,1.5,Cash,Dammam
ORD1091,58.0,470.03,53.52,7.0,1.0,3.7,Cash,Jeddah
ORD1092,46.0,,50.88,3.0,3.0,4.4,Card,Riyadh
ORD1093,32.0,284.31,33.46,2.0,7.0,4.0,Apple Pay,Khobar
ORD1094,62.0,297.35,29.41,10.0,1.0,1.1,Card,Khobar
ORD1095,18.0,161.6,35.7,4.0,5.0,4.5,Cash,Jeddah
ORD1096,42.0,450.98,63.18,8.0,8.0,,Apple Pay,Khobar
ORD1097,24.0,462.93,39.86,9.0,7.0,2.6,Apple Pay,Khobar
ORD1098,26.0,2200.0,45.92,7.0,6.0,1.4,Card,Jeddah
ORD1099,41.0,387.94,32.57,1.0,4.0,3.9,Cash,Riyadh
ORD1100,18.0,453.88,35.73,3.0,1.0,1.7,Card,Riyadh
ORD1101,61.0,344.89,42.77,9.0,5.0,3.3,Apple Pay,
ORD1102,25.0,413.21,36.51,1.0,7.0,4.4,Card,Khobar
ORD1103,,339.23,12.23,9.0,5.0,1.4,Card,Riyadh
ORD1104,28.0,186.15,50.37,8.0,6.0,3.1,Cash,Jeddah
ORD1105,34.0,435.43,27.62,1.0,3.0,1.9,Cash,Khobar
ORD1106,25.0,465.76,,6.0,5.0,2.4,Apple Pay,Dammam
ORD1107,52.0,400.8,43.24,5.0,7.0,2.9,Card,Jeddah
ORD1108,52.0,215.01,35.85,6.0,5.0,2.4,Card,Khobar
ORD1109,50.0,237.37,40.27,10.0,5.0,3.6,Card,Khobar
ORD1110,22.0,195.65,33.7,5.0,5.0,2.9,Apple Pay,Dammam
ORD1111,59.0,,29.16,6.0,2.0,3.3,Apple Pay,Dammam
ORD1112,56.0,459.52,37.49,5.0,2.0,3.9,Cash,Riyadh
ORD1113,58.0,366.69,45.62,5.0,3.0,3.2,Cash,Jeddah
ORD1114,45.0,423.46,29.43,4.0,1.0,3.3,Cash,Jeddah
ORD1115,24.0,224.56,27.53,3.0,5.0,3.3,Card,Riyadh
ORD1116,26.0,336.04,30.73,3.0,6.0,2.5,Card,Jeddah
ORD1117,25.0,169.31,46.42,4.0,1.0,2.3,Cash,Jeddah
ORD1118,29.0,235.1,52.43,9.0,6.0,,Card,Jeddah
ORD1119,51.0,416.65,39.34,2.0,1.0,3.4,Cash,Jeddah
ORD1120,50.0,293.64,41.98,9.0,3.0,2.0,Apple Pay,Jeddah
